%CPU %MEM     PID TT       STIME     TIME CMD
12.7  0.0 1042569 pts/0    09:13 00:00:01 /bin/ksh tmon manu tes
 2.0  0.0 1043997 pts/0    09:13 00:00:00 sh /u1/etc/tmon/script/chk_cpu
 0.0  0.0     107 ?        Dec15 00:00:00 [kworker/15:0H-events_highpri]
 0.0  0.0     124 ?        Dec15 00:00:00 [kdevtmpfs]
 0.0  0.0     125 ?        Dec15 00:00:00 [netns]
 0.0  0.0     126 ?        Dec15 00:00:03 [kauditd]
 0.0  0.0     129 ?        Dec15 00:00:00 [khungtaskd]
 0.0  0.0     130 ?        Dec15 00:00:00 [oom_reaper]
 0.0  0.0     131 ?        Dec15 00:00:00 [writeback]
 0.0  0.0     132 ?        Dec15 00:00:00 [kcompactd0]
 0.0  0.0     133 ?        Dec15 00:00:00 [kcompactd1]
 0.0  0.0     134 ?        Dec15 00:00:00 [kcompactd2]
 0.0  0.0     135 ?        Dec15 00:00:00 [kcompactd3]
 0.0  0.0     136 ?        Dec15 00:00:00 [ksmd]
 0.0  0.0     137 ?        Dec15 00:00:03 [khugepaged]
 0.0  0.0     138 ?        Dec15 00:00:00 [crypto]
 0.0  0.0     139 ?        Dec15 00:00:00 [kintegrityd]
 0.0  0.0     140 ?        Dec15 00:00:00 [kblockd]
 0.0  0.0     141 ?        Dec15 00:00:00 [blkcg_punt_bio]
 0.0  0.0     142 ?        Dec15 00:00:00 [tpm_dev_wq]
 0.0  0.0     143 ?        Dec15 00:00:00 [md]
 0.0  0.0     144 ?        Dec15 00:00:00 [edac-poller]
 0.0  0.0     145 ?        Dec15 00:00:00 [watchdogd]
 0.0  0.0     146 ?        Dec15 00:01:02 [kworker/5:1H-kblockd]
 0.0  0.0     156 ?        Dec15 00:00:00 [kswapd0]
 0.0  0.0     157 ?        Dec15 00:00:00 [kswapd1]
 0.0  0.0     158 ?        Dec15 00:00:00 [kswapd2]
 0.0  0.0     159 ?        Dec15 00:00:00 [kswapd3]
 0.0  0.0     265 ?        Dec15 00:00:00 [kthrotld]
 0.0  0.0     266 ?        Dec15 00:00:00 [irq/24-pciehp]
 0.0  0.0     267 ?        Dec15 00:00:00 [irq/25-pciehp]
 0.0  0.0     268 ?        Dec15 00:00:00 [irq/26-pciehp]
 0.0  0.0     269 ?        Dec15 00:00:00 [irq/27-pciehp]
 0.0  0.0     270 ?        Dec15 00:00:00 [irq/28-pciehp]
 0.0  0.0     271 ?        Dec15 00:00:00 [irq/29-pciehp]
 0.0  0.0     272 ?        Dec15 00:00:00 [irq/30-pciehp]
 0.0  0.0     273 ?        Dec15 00:00:00 [irq/31-pciehp]
 0.0  0.0     274 ?        Dec15 00:00:00 [irq/32-pciehp]
 0.0  0.0     275 ?        Dec15 00:00:00 [irq/33-pciehp]
 0.0  0.0     276 ?        Dec15 00:00:00 [irq/34-pciehp]
 0.0  0.0     277 ?        Dec15 00:00:00 [irq/35-pciehp]
 0.0  0.0     278 ?        Dec15 00:00:00 [irq/36-pciehp]
 0.0  0.0     279 ?        Dec15 00:00:00 [irq/37-pciehp]
 0.0  0.0     280 ?        Dec15 00:00:00 [irq/38-pciehp]
 0.0  0.0     281 ?        Dec15 00:00:00 [irq/39-pciehp]
 0.0  0.0     282 ?        Dec15 00:00:00 [irq/40-pciehp]
 0.0  0.0     283 ?        Dec15 00:00:00 [irq/41-pciehp]
 0.0  0.0     284 ?        Dec15 00:00:00 [irq/42-pciehp]
 0.0  0.0     285 ?        Dec15 00:00:00 [irq/43-pciehp]
 0.0  0.0     286 ?        Dec15 00:00:00 [irq/44-pciehp]
 0.0  0.0     287 ?        Dec15 00:00:00 [irq/45-pciehp]
 0.0  0.0     288 ?        Dec15 00:00:00 [irq/46-pciehp]
 0.0  0.0     289 ?        Dec15 00:00:00 [irq/47-pciehp]
 0.0  0.0     290 ?        Dec15 00:00:00 [irq/48-pciehp]
 0.0  0.0     291 ?        Dec15 00:00:00 [irq/49-pciehp]
 0.0  0.0     292 ?        Dec15 00:00:00 [irq/50-pciehp]
 0.0  0.0     293 ?        Dec15 00:00:00 [irq/51-pciehp]
 0.0  0.0     294 ?        Dec15 00:00:00 [irq/52-pciehp]
 0.0  0.0     295 ?        Dec15 00:00:00 [irq/53-pciehp]
 0.0  0.0     296 ?        Dec15 00:00:00 [irq/54-pciehp]
 0.0  0.0     297 ?        Dec15 00:00:00 [irq/55-pciehp]
 0.0  0.0     298 ?        Dec15 00:00:00 [acpi_thermal_pm]
 0.0  0.0     299 ?        Dec15 00:00:00 [kmpath_rdacd]
 0.0  0.0     300 ?        Dec15 00:00:00 [kaluad]
 0.0  0.0     302 ?        Dec15 00:00:47 [kworker/3:1H-xfs-log/dm-4]
 0.0  0.0     303 ?        Dec15 00:00:00 [ipv6_addrconf]
 0.0  0.0     304 ?        Dec15 00:00:00 [kstrp]
 0.0  0.0     389 ?        Dec15 00:00:41 [kworker/0:1H-kblockd]
 0.0  0.0     418 ?        Dec15 00:00:52 [kworker/1:1H-kblockd]
 0.0  0.0     419 ?        Dec15 00:00:53 [kworker/2:1H-kblockd]
 0.0  0.0     424 ?        Dec15 00:00:47 [kworker/11:1H-kblockd]
 0.0  0.0     425 ?        Dec15 00:01:12 [kworker/15:1H-kblockd]
 0.0  0.0     432 ?        Dec15 00:00:57 [kworker/13:1H-kblockd]
 0.0  0.0     548 ?        Dec15 00:01:10 [kworker/4:1H-kblockd]
 0.0  0.0     554 ?        Dec15 00:00:49 [kworker/9:1H-kblockd]
 0.0  0.0     556 ?        Dec15 00:01:04 [kworker/14:1H-kblockd]
 0.0  0.0     557 ?        Dec15 00:00:43 [kworker/10:1H-kblockd]
 0.0  0.0     613 ?        Dec15 00:00:00 [scsi_eh_0]
 0.0  0.0     614 ?        Dec15 00:00:00 [scsi_tmf_0]
 0.0  0.0     615 ?        Dec15 00:00:00 [vmw_pvscsi_wq_0]
 0.0  0.0     617 ?        Dec15 00:00:00 [ata_sff]
 0.0  0.0     620 ?        Dec15 00:00:00 [scsi_eh_1]
 0.0  0.0     621 ?        Dec15 00:00:00 [scsi_tmf_1]
 0.0  0.0     622 ?        Dec15 00:00:00 [scsi_eh_2]
 0.0  0.0     623 ?        Dec15 00:00:00 [scsi_tmf_2]
 0.0  0.0     631 ?        Dec15 00:00:00 [irq/16-vmwgfx]
 0.0  0.0     632 ?        Dec15 00:00:00 [ttm_swap]
 0.0  0.0     633 ?        Dec15 00:00:00 [card0-crtc0]
 0.0  0.0     634 ?        Dec15 00:00:00 [card0-crtc1]
 0.0  0.0     635 ?        Dec15 00:00:00 [card0-crtc2]
 0.0  0.0     636 ?        Dec15 00:00:00 [card0-crtc3]
 0.0  0.0     637 ?        Dec15 00:00:00 [card0-crtc4]
 0.0  0.0     638 ?        Dec15 00:00:00 [card0-crtc5]
 0.0  0.0     639 ?        Dec15 00:00:00 [card0-crtc6]
 0.0  0.0     640 ?        Dec15 00:00:00 [card0-crtc7]
 0.0  0.0     647 ?        Dec15 00:00:27 [kworker/u32:1-dm-thin]
